"labels","block01","filler01","check01","block02","filler02","check02","block03","filler03","check03","block04","filler04","check04","block05","filler05","check05","block06","filler06","check06","block07","filler07","check07","block08","filler08","check08","block09","filler09","check09","block10","filler10","check10","block11","filler11","check11","block12","filler12","check12","block13","filler13","check13","block14","filler14","check14","block15","filler15","check15","block16","filler16","check16","block17","filler17","check17","block18","filler18","check18","block19","filler19","check19","block20","filler20","check20","block21","filler21","check21","block22","filler22","check22","block23","filler23","check23","block24","filler24","check24","block25","filler25","check25","block26","filler26","check26","block27","filler27","check27","block28","filler28","check28","block29","filler29","check29","block30","filler30","check30","block31","filler31","check31","block32","filler32","check32","block33","filler33","check33","block34","filler34","check34","block35","filler35","check35","block36","filler36","check36","block37","filler37","check37","block38","filler38","check38","block39","filler39","check39","block40","filler40","check40","block41","filler41","check41","block42","filler42","check42","block43","filler43","check43","block44","filler44","check44","block45","filler45","check45","block46","filler46","check46","block47","filler47","check47","block48","filler48","check48"
"conditionA","stimuliListA0","InFillerList","Ini_Syl_Struct","stimuliListA1","InFillerList","Ini_Syl_Struct","stimuliListA2","InFillerList","Ini_Syl_Struct","stimuliListA3","InFillerList","Ini_Syl_Struct","stimuliListA4","InFillerList","Ini_Syl_Struct","stimuliListA5","InFillerList","Ini_Syl_Struct","stimuliListA6","InFillerList","Ini_Syl_Struct","stimuliListA7","InFillerList","Ini_Syl_Struct","stimuliListA8","InFillerList","Ini_Syl_Struct","stimuliListA9","InFillerList","Ini_Syl_Struct","stimuliListA10","InFillerList","Ini_Syl_Struct","stimuliListA11","InFillerList","Ini_Syl_Struct","stimuliListA12","InFillerList","Ini_Syl_Struct","stimuliListA13","InFillerList","Ini_Syl_Struct","stimuliListA14","InFillerList","Ini_Syl_Struct","stimuliListA15","InFillerList","Ini_Syl_Struct","stimuliListA16","InFillerList","Ini_Syl_Struct","stimuliListA17","InFillerList","Ini_Syl_Struct","stimuliListA18","InFillerList","Ini_Syl_Struct","stimuliListA19","InFillerList","Ini_Syl_Struct","stimuliListA20","InFillerList","Ini_Syl_Struct","stimuliListA21","InFillerList","Ini_Syl_Struct","stimuliListA22","InFillerList","Ini_Syl_Struct","stimuliListA23","InFillerList","Ini_Syl_Struct","stimuliListA24","InFillerList","Ini_Syl_Struct","stimuliListA25","InFillerList","Ini_Syl_Struct","stimuliListA26","InFillerList","Ini_Syl_Struct","stimuliListA27","InFillerList","Ini_Syl_Struct","stimuliListA28","InFillerList","Ini_Syl_Struct","stimuliListA29","InFillerList","Ini_Syl_Struct","stimuliListA30","InFillerList","Ini_Syl_Struct","stimuliListA31","InFillerList","Ini_Syl_Struct","stimuliListA32","InFillerList","Ini_Syl_Struct","stimuliListA33","InFillerList","Ini_Syl_Struct","stimuliListA34","InFillerList","Ini_Syl_Struct","stimuliListA35","InFillerList","Ini_Syl_Struct","stimuliListA36","InFillerList","Ini_Syl_Struct","stimuliListA37","InFillerList","Ini_Syl_Struct","stimuliListA38","InFillerList","Ini_Syl_Struct","stimuliListA39","InFillerList","Ini_Syl_Struct","stimuliListA40","InFillerList","Ini_Syl_Struct","stimuliListA41","InFillerList","Ini_Syl_Struct","stimuliListA42","InFillerList","Ini_Syl_Struct","stimuliListA43","InFillerList","Ini_Syl_Struct","stimuliListA44","InFillerList","Ini_Syl_Struct","stimuliListA45","InFillerList","Ini_Syl_Struct","stimuliListA46","InFillerList","Ini_Syl_Struct","stimuliListA47","InFillerList","Ini_Syl_Struct"
"listLabel","Real10","","","Real11","","","Pseudo02","","","Real03","","","Real21","","","Pseudo23","","","Pseudo21","","","Pseudo04","","","Pseudo20","","","Pseudo09","","","Real18","","","Pseudo11","","","Real04","","","Pseudo06","","","Pseudo10","","","Real17","","","Real15","","","Pseudo14","","","Pseudo07","","","Pseudo05","","","Real05","","","Pseudo16","","","Real06","","","Real01","","","Pseudo24","","","Real24","","","Real14","","","Real02","","","Real19","","","Real22","","","Pseudo12","","","Real16","","","Pseudo19","","","Pseudo15","","","Real23","","","Real12","","","Pseudo03","","","Pseudo13","","","Pseudo08","","","Real09","","","Pseudo22","","","Real13","","","Pseudo01","","","Real08","","","Pseudo18","","","Pseudo17","","","Real07","","","Real20","",""
"targetSyl","ro","","","per","","","cer","","","gan","","","cul","","","cam","","","mo","","","li","","","bol","","","co","","","pe","","","jo","","","bo","","","pas","","","gar","","","vol","","","pa","","","pes","","","mo","","","mur","","","jor","","","lin","","","pal","","","ce","","","ros","","","cor","","","cam","","","ga","","","bal","","","mo","","","cor","","","li","","","cos","","","ce","","","cen","","","co","","","cu","","","ga","","","pe","","","mor","","","pa","","","co","","","vo","","","lim","","","cas","","","ba","","","ca","","","mu","",""
"carrierItem","rosario","rosario","CV","permiso","permiso","CVC","cerliza","cerliza","CVC","ganchillo","ganchillo","CVC","culebra","culebra","CV","camofa","camofa","CV","morbollo","morbollo","CVC","limucna","limucna","CV","bolipo","bolipo","CV","corteta","corteta","CVC","peseta","peseta","CV","joruma","joruma","CV","bolsillo","bolsillo","CVC","paslolla","paslolla","CVC","garventa","garventa","CVC","volante","volante","CV","pastilla","pastilla","CVC","pesdeña","pesdeña","CVC","moniga","moniga","CV","murdallo","murdallo","CVC","joroba","joroba","CV","linele","linele","CV","paloma","paloma","CV","cereza","cereza","CV","rosepio","rosepio","CV","corbata","corbata","CVC","camisa","camisa","CV","garaje","garaje","CV","baldosa","baldosa","CVC","moneda","moneda","CV","corura","corura","CV","linterna","linterna","CVC","cosiba","cosiba","CV","cenoca","cenoca","CV","centavo","centavo","CVC","costilla","costilla","CVC","culitra","culitra","CV","ganquillo","ganquillo","CVC","periga","periga","CV","morera","morera","CV","palbira","palbira","CVC","corona","corona","CV","volpeje","volpeje","CVC","limpieza","limpieza","CVC","casgollo","casgollo","CVC","balbusa","balbusa","CVC","castillo","castillo","CVC","murmullo","murmullo","CVC"
"filleritem1","pantalla","pantalla","CVC","sandía","sandía","CVC","vofida","vofida","CV","tejado","tejado","CV","pintura","pintura","CVC","depite","depite","CV","cabsiva","cabsiva","CVC","poncilla","poncilla","CVC","ricofo","ricofo","CV","palcillo","palcillo","CVC","langosta","langosta","CVC","biluesa","biluesa","CV","narciso","narciso","CVC","tomida","tomida","CV","tulvano","tulvano","CVC","juntura","juntura","CVC","certeza","certeza","CVC","docado","docado","CV","hicuila","hicuila","CV","senena","senena","CV","zancada","zancada","CVC","parvida","parvida","CVC","gorguera","gorguera","CVC","tinaja","tinaja","CV","tidioma","tidioma","CV","ventana","ventana","CVC","pescante","pescante","CVC","lumbrera","lumbrera","CVC","renombre","renombre","CV","submundo","submundo","CVC","balzalla","balzalla","CVC","tartana","tartana","CVC","divona","divona","CV","lirina","lirina","CV","talante","talante","CV","zarzuela","ADD TO LIST","NEED SYL INFO","nesedo","nesedo","CV","tifencio","tifencio","CV","salfrabla","salfrabla","CVC","zapato","zapato","CV","denciña","denciña","CVC","bengala","bengala","CVC","tidencio","tidencio","CV","portillo","portillo","CVC","demida","demida","CV","soponso","soponso","CV","punzada","punzada","CVC","testigo","testigo","CVC"
"filleritem2","lenguaje","lenguaje","CVC","soltura","soltura","CVC","moncura","moncura","CVC","zumbido","zumbido","CVC","sarmiento","sarmiento","CVC","neteno","neteno","CV","dinona","dinona","CV","sobisco","sobisco","CV","rartanto","rartanto","CVC","bitero","bitero","CV","jilguero","jilguero","CVC","cividra","cividra","CV","gustillo","gustillo","CVC","devita","devita","CV","cicauco","cicauco","CV","centeno","centeno","CVC","cordero","cordero","CVC","normaso","normaso","CVC","lisnombre","lisnombre","CVC","viztura","viztura","CVC","tumulto","tumulto","CV","sociare","sociare","CV","gorjeo","gorjeo","CVC","sonrisa","sonrisa","CVC","cinsecho","cinsecho","CVC","bufete","bufete","CV","pestillo","pestillo","CVC","polvillo","polvillo","CVC","tortuga","tortuga","CVC","laxante","laxante","CV","fimegra","fimegra","CV","portazo","portazo","CVC","mipcura","mipcura","CVC","bitena","bitena","CV","tornillo","tornillo","CVC","perchero","perchero","CVC","dosgiente","dosgiente","CVC","pificha","pificha","CV","canveta","canveta","CVC","venganza","venganza","CVC","cecaja","cecaja","CV","lanzazo","lanzazo","CVC","parsida","parsida","CVC","sobaco","sobaco","CV","nemeto","nemeto","CV","zictencia","zictencia","CVC","mortaja","mortaja","CVC","vestuario","vestuario","CVC"
"filleritem3","cambiazo","cambiazo","CVC","ginebra","ginebra","CV","biñena","biñena","CV","postigo","postigo","CVC","verdura","verdura","CVC","nenedo","nenedo","CV","sucema","sucema","CV","nurese","nurese","CV","perdisno","perdisno","CVC","depiaro","depiaro","CV","gordura","gordura","CVC","gantarna","gantarna","CVC","remiendo","remiendo","CV","civillo","civillo","CV","nulese","nulese","CV","ternura","ternura","CVC","fogata","fogata","CV","bicera","bicera","CV","tecillo","tecillo","CV","cosdura","cosdura","CVC","ventaja","ventaja","CVC","decanro","decanro","CV","conducta","conducta","CVC","sandalia","sandalia","CVC","bimena","bimena","CV","palmada","palmada","CVC","filete","filete","CV","solera","solera","CV","semilla","semilla","CV","vislumbre","vislumbre","CVC","dulcura","dulcura","CVC","vereda","vereda","CV","fivalia","fivalia","CV","gifema","gifema","CV","ruptura","ruptura","CVC","nevera","nevera","CV","varime","varime","CV","ciroca","ciroca","CV","gantina","gantina","CVC","fastidio","fastidio","CVC","vestolcio","vestolcio","CVC","ventisca","ventisca","CVC","ducoste","ducoste","CV","respuesta","respuesta","CVC","pirijuo","pirijuo","CV","ruñansa","ruñansa","CV","puntilla","puntilla","CVC","poltrona","poltrona","CVC"
"filleritem4","campiña","campiña","CVC","solvencia","solvencia","CVC","tovero","tovero","CV","portento","portento","CVC","tobillo","tobillo","CV","dedioro","dedioro","CV","puscalla","puscalla","CVC","fascuna","fascuna","CVC","vifema","vifema","CV","nansaso","nansaso","CVC","doncella","doncella","CVC","banzalla","banzalla","CVC","fundillo","fundillo","CVC","cunceza","cunceza","CVC","numete","numete","CV","gentuza","gentuza","CVC","mordaza","mordaza","CVC","daviba","daviba","CV","pargaza","pargaza","CVC","bipero","bipero","CV","cintura","cintura","CVC","taviño","taviño","CV","vivero","vivero","CV","pancarta","pancarta","CVC","lectorio","lectorio","CVC","pandilla","pandilla","CVC","fondillo","fondillo","CVC","pinchazo","pinchazo","CVC","torpeza","torpeza","CVC","salchicha","salchicha","CVC","zuscura","zuscura","CVC","zarpazo","zarpazo","CVC","baldeblo","baldeblo","CVC","turquma","turquma","CVC","durmiente","durmiente","CVC","persiana","persiana","CVC","fantarna","fantarna","CVC","tocensia","tocensia","CV","nuseto","nuseto","CV","piltrafa","piltrafa","CVC","cicora","cicora","CV","vigencia","vigencia","CV","banfalla","banfalla","CVC","garbanzo","garbanzo","CVC","bercillo","bercillo","CVC","cuntefa","cuntefa","CVC","luneta","luneta","CV","lactancia","lactancia","CVC"
"filleritem5","putada","putada","CV","jactancia","jactancia","CVC","lunino","lunino","CV","tortazo","tortazo","CVC","vertiente","vertiente","CVC","sobvondo","sobvondo","CVC","cicisa","cicisa","CV","ferfuera","ferfuera","CVC","nundero","nundero","CVC","tudala","tudala","CV","fantoche","fantoche","CVC","piglillo","piglillo","CVC","farola","farola","CV","tecido","tecido","CV","tildona","tildona","CVC","serpiente","serpiente","CVC","mordisco","mordisco","CVC","cabsero","cabsero","CVC","cicaimo","cicaimo","CV","civicha","civicha","CV","tintero","tintero","CVC","pospana","pospana","CVC","fortuna","fortuna","CVC","bolzano","bolzano","CVC","denfiña","denfiña","CVC","bandera","bandera","CVC","felpudo","felpudo","CVC","mensaje","mensaje","CVC","sortija","sortija","CVC","lectura","lectura","CVC","nafiaca","nafiaca","CV","jasmina","jasmina","CVC","venetlo","venetlo","CV","torsenza","torsenza","CVC","burbuja","burbuja","CVC","barbilla","barbilla","CVC","norita","norita","CV","detnana","detnana","CVC","zaldizo","zaldizo","CVC","pulgada","pulgada","CVC","sinvera","sinvera","CVC","pulsera","pulsera","CVC","sitena","sitena","CV","soborno","soborno","CV","penvalla","penvalla","CVC","cicaigo","cicaigo","CV","vendaje","vendaje","CVC","vivencia","vivencia","CV"
"filleritem6","pileta","pileta","CV","gusano","gusano","CV","tunsuja","tunsuja","CVC","reliquia","reliquia","CV","tarjeta","tarjeta","CVC","tunruja","tunruja","CVC","nacañe","nacañe","CV","fañeilla","fañeilla","CV","recoltre","recoltre","CV","delido","delido","CV","laguna","laguna","CV","tinneza","tinneza","CVC","rastrillo","rastrillo","CVC","mingrago","mingrago","CVC","mufenza","mufenza","CV","reducto","reducto","CV","relente","relente","CV","tutmuja","tutmuja","CVC","fernuera","fernuera","CVC","lastadia","lastadia","CVC","piscina","piscina","CVC","poscallo","poscallo","CVC","cornada","cornada","CVC","tinglado","tinglado","CVC","fimallo","fimallo","CV","visillo","visillo","CV","suspenso","suspenso","CVC","tendencia","tendencia","CVC","tersura","tersura","CVC","tufillo","tufillo","CV","binero","binero","CV","regazo","regazo","CV","funclera","funclera","CVC","midena","midena","CV","viruela","viruela","CV","viraje","viraje","CV","permaza","permaza","CVC","tercajo","tercajo","CVC","naverdo","naverdo","CV","vistazo","vistazo","CVC","simedo","simedo","CV","pesquisa","pesquisa","CVC","suseña","suseña","CV","pozuelo","pozuelo","CV","voltura","voltura","CVC","soreto","soreto","CV","remanso","remanso","CV","tapete","tapete","CV"
