labels,block01,block02,block03,block04,block05,block06,block07,block08
practiceListB,practiceListB0,practiceListB1,practiceListB2,practiceListB3,practiceListB4,practiceListB5,practiceListB6,practiceListB7
listLabel,RealP2,RealP4,PseudoP2,PseudoP3,RealP3,PseudoP1,PseudoP4,RealP1
targetSyl,si,co,sil,ve,ven,de,cos,del
carrierItem,silbido,cosigna,sildedo,venuro,venado,delbides,coserna,deltoides
filleritem1,bacteria,farsante,nencida,parvaza,campaña,gimega,navura,burrada
filleritem2,confianza,rivera,farime,tarsallo,sarcasmo,bascana,purjida,tungsteno
filleritem3,congreso,vergüenza,deciro,sutnido,gozada,gaferdo,vavipo,varilla
filleritem4,poniente,largueza,mordiso,cortupto,sordera,rorencio,dabtura,ropero
filleritem5,concepto,rabillo,vangurdo,tolina,rasguño,tusvuja,tencrido,forraje
filleritem6,reguero,regato,tocida,simona,cizalla,vantema,dezida,ramaje
filleritem7,noviazgo,ternera,tenvila,jagito,pocilga,vinsosta,fensuace,batuta
filleritem8,donaire,pureza,devillo,foscillo,cigoto,nocena,galgango,vaquilla
filleritem9,recodo,percance,rofiolo,tosaba,cornisa,ricobo,binima,sufragio
