practiceListA,practiceListA0,practiceListA1,practiceListA2,practiceListA3,practiceListA4,practiceListA5,practiceListA6,practiceListA7,conditionA,stimuliListA0,stimuliListA1,stimuliListA2,stimuliListA3,stimuliListA4,stimuliListA5,stimuliListA6,stimuliListA7,stimuliListA8,stimuliListA9,stimuliListA10,stimuliListA11,stimuliListA12,stimuliListA13,stimuliListA14,stimuliListA15,stimuliListA16,stimuliListA17,stimuliListA18,stimuliListA19,stimuliListA20,stimuliListA21,stimuliListA22,stimuliListA23,stimuliListA24,stimuliListA25,stimuliListA26,stimuliListA27,stimuliListA28,stimuliListA29,stimuliListA30,stimuliListA31,stimuliListA32,stimuliListA33,stimuliListA34,stimuliListA35,stimuliListA36,stimuliListA37,stimuliListA38,stimuliListA39,stimuliListA40,stimuliListA41,stimuliListA42,stimuliListA43,stimuliListA44,stimuliListA45,stimuliListA46,stimuliListA47,syllabification,corrSyl,corrAns,keyCVC,keyCV,Condition,pracTarLoop.thisRepN,pracTarLoop.thisTrialN,pracTarLoop.thisN,pracTarLoop.thisIndex,pracTrialLoop.thisRepN,pracTrialLoop.thisTrialN,pracTrialLoop.thisN,pracTrialLoop.thisIndex,expTarLoop.thisRepN,expTarLoop.thisTrialN,expTarLoop.thisN,expTarLoop.thisIndex,expTrialLoop.thisRepN,expTrialLoop.thisTrialN,expTrialLoop.thisN,expTrialLoop.thisIndex,sylPracLoop.thisRepN,sylPracLoop.thisTrialN,sylPracLoop.thisN,sylPracLoop.thisIndex,syllableLoop.thisRepN,syllableLoop.thisTrialN,syllableLoop.thisN,syllableLoop.thisIndex,seg_key_resp.keys,seg_key_resp.rt,syl_key_resp.keys,syl_key_resp.corr,syl_key_resp.rt,participant,session,Name,date,expName,psychopyVersion,frameRate,
filleritem1,bacteria,farsante,nencida,parvaza,campaña,gimega,navura,burrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,part001,A,mattmann,2019_Mar_07_1924,Syllabification,3.0.5,60.07862634014836,
filleritem9,recodo,percance,rofiolo,tosaba,cornisa,ricobo,binima,sufragio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,9,,,,,,,,,,,,,,,,,,,,,,part001,A,mattmann,2019_Mar_07_1924,Syllabification,3.0.5,60.07862634014836,
filleritem4,poniente,largueza,mordiso,cortupto,sordera,rorencio,dabtura,ropero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,part001,A,mattmann,2019_Mar_07_1924,Syllabification,3.0.5,60.07862634014836,
filleritem6,reguero,regato,tocida,simona,cizalla,vantema,dezida,ramaje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,part001,A,mattmann,2019_Mar_07_1924,Syllabification,3.0.5,60.07862634014836,
filleritem5,concepto,rabillo,vangurdo,tolina,rasguño,tusvuja,tencrido,forraje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,part001,A,mattmann,2019_Mar_07_1924,Syllabification,3.0.5,60.07862634014836,
carrierItem,silbido,cosigna,sildedo,venuro,venado,delbides,coserna,deltoides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,part001,A,mattmann,2019_Mar_07_1924,Syllabification,3.0.5,60.07862634014836,
filleritem2,confianza,rivera,farime,tarsallo,sarcasmo,bascana,purjida,tungsteno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,6,6,2,,,,,,,,,,,,,,,,,,,,,,part001,A,mattmann,2019_Mar_07_1924,Syllabification,3.0.5,60.07862634014836,
filleritem8,donaire,pureza,devillo,foscillo,cigoto,nocena,galgango,vaquilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,7,7,8,,,,,,,,,,,,,,,,,,,,,,part001,A,mattmann,2019_Mar_07_1924,Syllabification,3.0.5,60.07862634014836,
filleritem3,congreso,vergüenza,deciro,sutnido,gozada,gaferdo,vavipo,varilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,8,8,3,,,,,,,,,,,,,,,,,,,,,,part001,A,mattmann,2019_Mar_07_1924,Syllabification,3.0.5,60.07862634014836,
filleritem7,noviazgo,ternera,tenvila,jagito,pocilga,vinsosta,fensuace,batuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,9,9,7,,,,,,,,,,,,,,,,,,,,,,part001,A,mattmann,2019_Mar_07_1924,Syllabification,3.0.5,60.07862634014836,
targetSyl,sil,cos,si,ven,ve,del,co,de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,part001,A,mattmann,2019_Mar_07_1924,Syllabification,3.0.5,60.07862634014836,
filleritem8,donaire,pureza,devillo,foscillo,cigoto,nocena,galgango,vaquilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,part001,A,mattmann,2019_Mar_07_1924,Syllabification,3.0.5,60.07862634014836,
filleritem5,concepto,rabillo,vangurdo,tolina,rasguño,tusvuja,tencrido,forraje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,part001,A,mattmann,2019_Mar_07_1924,Syllabification,3.0.5,60.07862634014836,
carrierItem,silbido,cosigna,sildedo,venuro,venado,delbides,coserna,deltoides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,part001,A,mattmann,2019_Mar_07_1924,Syllabification,3.0.5,60.07862634014836,
filleritem1,bacteria,farsante,nencida,parvaza,campaña,gimega,navura,burrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,part001,A,mattmann,2019_Mar_07_1924,Syllabification,3.0.5,60.07862634014836,
filleritem4,poniente,largueza,mordiso,cortupto,sordera,rorencio,dabtura,ropero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,part001,A,mattmann,2019_Mar_07_1924,Syllabification,3.0.5,60.07862634014836,
filleritem3,congreso,vergüenza,deciro,sutnido,gozada,gaferdo,vavipo,varilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,part001,A,mattmann,2019_Mar_07_1924,Syllabification,3.0.5,60.07862634014836,
filleritem2,confianza,rivera,farime,tarsallo,sarcasmo,bascana,purjida,tungsteno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,6,6,2,,,,,,,,,,,,,,,,,,,,,,part001,A,mattmann,2019_Mar_07_1924,Syllabification,3.0.5,60.07862634014836,
filleritem6,reguero,regato,tocida,simona,cizalla,vantema,dezida,ramaje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,7,7,6,,,,,,,,,,,,,,,,,,,,,,part001,A,mattmann,2019_Mar_07_1924,Syllabification,3.0.5,60.07862634014836,
filleritem7,noviazgo,ternera,tenvila,jagito,pocilga,vinsosta,fensuace,batuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,8,8,7,,,,,,,,,,,,,,,,,,,,,,part001,A,mattmann,2019_Mar_07_1924,Syllabification,3.0.5,60.07862634014836,
filleritem9,recodo,percance,rofiolo,tosaba,cornisa,ricobo,binima,sufragio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,part001,A,mattmann,2019_Mar_07_1924,Syllabification,3.0.5,60.07862634014836,
targetSyl,sil,cos,si,ven,ve,del,co,de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,part001,A,mattmann,2019_Mar_07_1924,Syllabification,3.0.5,60.07862634014836,
filleritem7,noviazgo,ternera,tenvila,jagito,pocilga,vinsosta,fensuace,batuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,part001,A,mattmann,2019_Mar_07_1924,Syllabification,3.0.5,60.07862634014836,
carrierItem,silbido,cosigna,sildedo,venuro,venado,delbides,coserna,deltoides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,part001,A,mattmann,2019_Mar_07_1924,Syllabification,3.0.5,60.07862634014836,
filleritem5,concepto,rabillo,vangurdo,tolina,rasguño,tusvuja,tencrido,forraje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,part001,A,mattmann,2019_Mar_07_1924,Syllabification,3.0.5,60.07862634014836,
